अंगत: निजी
छटकुं: जाल
छठ्ठो: छठवाँ
छडा: पायल
छणकवुं: गुस्सा_होकर_बोलना
छतां: तथापि
छत्रीस: छत्तीस
छबरडो: असफलता
छबी: छबि
छलंग: छलांग
छळ: छल
छव्वीस: छब्बीस
छांटो: बूंद
छांडवुं: छोड़ना
छाण: गोबर
छानुं: रहस्य
छापरुं: छप्पर
छापवुं: छापना
छापुं: अखबार
छाब: बांस_की_टोकरी
छाबडी: बांस_की_टोकरी
छालां: भूसी
छावणी: छावनी
छावरवुं: छिपाना
छाश: छाछ
छासठ: छाछठ
छीए: हैं
छीनववुं: छीनना
छुं: हूँ
छूटक: खुदरा
छूटछूटोनो: छूट_छाट_का
छूटवुं: छूटना
छूपुं: रहस्य
छे: है
छेक: पूर्णतः
छेडती: छेड़
छेडवुं: छेड़ना
छेडाओ: छोर
छेडो: अंत
छेतरपींडी: ठगी
छेतरवुं: धोखा_देना
छेतरामण: धोखा
छेतरामणुं: धोखेबाज
छेताळीस: छियालीस
छेदवुं: छेदना
छेल्ला: गत
छेल्लां: आखिर_के
छेल्लुं: अन्तिम
छेल्ले: अन्त_में
छेवटे: अन्त_में
छो: हो
छोकरमत: बचकाना
छोकरिओ: लड़कियाँ
छोकरुं: बच्चा
छोकरो: लड़का
छोडवुं: छोड़ना
छोतरुं: छीलन
छोतेर: छिहत्तर
ज: ही
जंप: शांति
जई: जा
जकात: सीमा_शुल्क
जक्की: झक्की
जग्या: जगह
जड: जड़
जडबातोड: अकाट्य
जडबुं: जबड़ा
जडभरत: बेवकूफ
जडवुं: ज।दना
जण: जन
जणवुं: जन्म_देना
जणातां: जानने_पर
जणाय: लगता_है
जणाववुं: जनाना
जणावे: बताए
जणावेलुं: सूचित
जती: जाती
जन्मटीप: आजीवन_कारावास
जन्मेल: जन्मे
जपवुं: जपना
जमणवाद: दावत
जमवानुं: खाना
जमवुं: खाना_खाना
जमानो: युग
जमीने: खाकर
जयां: जहाँ
जयारथी: के_बाद_से
जयारे: जब
जयोत: ज्योति
जर: धन
जरख: जंगली_जानवर
जरूरियात: आवश्यकता
जलसो: जलसा
जव: जौ
जवल्ले: यदाकदा
जवाबदारीओ: उत्तरदायित्व
जवुं: जाना
जश: यश
जसदी: शीघ्र
जहेरखबर: विज्ञापन
जागवुं: जागना
जाजम: कालीन
जाजरमान: गौरवपूर्ण
जाजरुं: शौचालय
जाडाइ: मोटाई
जाडुं: मोटी
जाण: जानकारी
जाणकारी: जानकारी
जाणवा: जानने_के_लिए
जाणवानी: जानने_की
जाणवुं: जानना
जाणी: जान_ले
जाणीतुं: प्रसिद्ध
जाणे: मानो
जात: जाति
जात_जातनी: तरह_तरह_की
जातकमाइ: आत्म_अर्जित_आय
जातीय: यौन
जाते: व्यक्तिगत_रूप_से
जात्रा: तीर्थयात्रा
जान: वारात
जामफळ: अमरूद
जामवुं: जमाना
जामीन: ज़मानत
जामीनगीरीवाळी: जामिनगिरी_वाली
जाळ: जाल
जाळवणी: संरक्षण
जाहेर: सार्वजनिक
जाहेरखबर: विज्ञापन
जाहेरात: विज्ञापन
जिल्लो: जिला
जीतवुं: जीतना
जीभाजोडी: झगड़ा
जीरववुं: पचाना
जीरुं: जीरा
जीवतर: जीवन
जीवतुं: जीवित
जीवलेण: घातक
जीववुं: जीना
जीवसटोसट: जीवन_के_जोखिम_पर
जीवात: कीट
जुओ: देखिए
जुगल: युगल
जुगार: जुआ
जुगारी: जुआरी
जुठ्ठु: झूठ
जुदा: अलग
जुदां: अलग
जुदी: अलग
जुदो: अलग
जुनवाणी: रूढ़िवादी
जुवार: ज्वार
जुस्सो: जोश
जु्दुं: अलग
जू: जूं
जूइ: जूही
जूज: थोड़ा
जूठ: झूठ
जूठुं: झूठ
जूना: पुराना
जूनी: पुरानी
जूनुं: पुराना
जे: जो
जेटली: जितनी
जेटलुं: जितना
जेणे: जिसने
जेनी: जिसकी
जेनो: जिसका
जेमां: जिसमें
जेवडुं: जितना_बड़ा
जेवा: जैसे
जेवा_के: जैसे_कि
जेवां: जैसे
जेवी: जैसी
जेवुं: इसी_तरह_की
जो: यदि
जोइए: चाहिए
जोईए: चाहिए
जोखवुं: तौलना
जोगवाइ: प्रावधान
जोगवाई: प्रबंध
जोगवाईओ: प्रबंध
जोगवाईओनुं: व्यवस्था
जोगानुंजोग: संयोग_से
जोड: जोड़ी
जोडणी: वर्तनी
जोडवुं: जोड़ना
जोडाक्षर: संयुक्ताक्षर
जोडाण: जोड़
जोडी: जोड़ी
जोडीयुं: जुड़वां
जोयुं: देखा
जोवुं: देखना
ज्ञाति: जाति
ज्यां: जहाँ
ज्यारथी: जब_से
ज्यारे: जब
झंखना: महत्वाकांछा
झंखवुं: झंखना
झगमगवुं: जगमगाना
झघडाखोर: झगड़ालू
झघडाझघडी: झगड़ा
झघडो: झगड़ा
झटकवुं: झटका_लगना
झटको: झटका
झडती: जब्ती
झडप: चाल
झडपथी: शीघ्रता_से
झडपवुं: झड़पना
झडपी: तेज
झणझण: झनझन
झपाझपी: हाथापाई
झमवुं: रिसना
झरणुं: झरना
झरवुं: झरना
झरो: धारा
झळकवुं: झलकना
झळुंझळुं: गोधूलि
झवेरात: जेवरात
झाकळ: ओस
झाझुं: बहुतायत_से
झाटकवुं: झटकना
झाड: पेड़
झाडवुं: झाड़ू_लगाना
झाडो: झाड़ा
झापटवुं: झपटना
झीणवटभरी: सूक्ष्मता_से_भरी
झीणुं: छोटा
झीलवुं: पकड़ना
झुंबेश: आंदोलन
झुलाववुं: झुलाना
झूंटववुं: छीनना
झूंपडुं: झोपड़ी
झूकवुं: झुकना
झूझवुं: जूझना
झूमवुं: सौंपना
झूलवुं: झूलना
झेर: जहर
झेरी: जहरीला
झेरीलुं: ईर्ष्यालु
टंकशाळ: टकसाल
टंटो: झगड़ा
टका: प्रतिशत
टकाउ: टिकाऊ
टकावारी: प्रतिशत
टकावारीओ: प्रतिशत
टकावारीनी: प्रतिशत_की
टकावारीनो: प्रतिशत_का
टकी: टिकी
टगर_टगर: टकटकी_लगाकर
टगुमगु: डगमग
टचली: कनिष्टिका
टचूकडुं: बहुत_छोटा
टटार: कड़ी
टपकवुं: टपकना
टपकुं: बूँद
टपाली: डाकिया
टपोटप: एक_एक_करके
टबूकडुं: बहुत_ही_छोटा
टमकवुं: चमकना
टळवुं: टलना
टांकणी: पिन
टांकी: टंकी
टांको: टांका
टांगवुं: टांगना
टाढ: ठंड
टाढुं: ठंडा
टाणुं: अवसर
टापटीप: टीपटाप
टापु: द्वीप
टामेटां: टमाटर
टाल: गंजापन
टाळवुं: टालना
टींडोरुं: टिण्डा
टीकडी: टिकिया
टीखळ: ताना
टीपुं: बूंद
टुकडो: टुकड़ा
टुवाल: तौलिया
टूंक_समयमां: शीघ्र
टूंका: कम
टूंकाववुं: छोटा_करना
टूचको: मजाक
टेकरी: पहाड़ी
टेकवुं: टेकना
टेको: टेक
टेव: आदत
टेवावुं: परिचित_होना
टोकवुं: टोकना
टोच: चोटी
टोचवुं: चुभना
टोपली: छोटी_टोकरी
टोपलो: बड़ी_टोकरी
टोपो: टोपी
टोळकी: गिरोह
टोळी: टोली
टोळुं: भीड़
ठंडुं: ठंड
ठगवुं: ठगना
ठगाइ: ठगी
ठगारुं: धोखेबाज
ठराव: प्रस्ताव
ठराववुं: तय_करना
ठरेल: बुद्धिमान
ठसवुं: आश्वस्त
ठसोठस: ठसाठस
ठांसवुं: ठूसना
ठाकोरजी: ठाकुर_जी
ठाठ: ठाट
ठारवुं: ठण्डा_करना
ठालववुं: खाली_करना
ठालुं: खाली
ठूंठुं: ठूंठ
ठेकठेकाणे: हर_जगह
ठेकडी: मजाक
ठेकडो: छलांग
ठेकवुं: छलांग_लगाना
ठेकाणुं: ठिकना
ठेर_ठेर: हर_जगह
ठेलवुं: ठेलना
ठेलो: ठेला
ठेश: ठेस
ठोकंठोक: ठोकठोक
ठोकवुं: ठोंकना
ठोठ: मूर्ख
डंख: डंक
डंखवुं: डंक_मारना
डंफाश: शेखी
डगमगवुं: डगमगाना
डगलुं: कदम
डगवुं: डगमगाना
डजववा: मनाने
डट्टो: डॉट
डणकवुं: गर्जन
डबी: डिब्बी
डबो: डिब्बा
डरवुं: डरना
डरामणुं: भयावह
डसवुं: डसना
डहापण: ज्ञान
डांडी: डंडी
डाकण: चुड़ैल
डाबुं: बाँया
डाबोडी: बाएं_हाथ_से_काम_करने_वाला
डामाडोळ: डावांडोल
डाळ: डाली
डिरेक्टरनी: निर्देशक_की
डुंगराळ: पर्वतीय
डुंगरी: पहाड़ी
डुंगली: प्याज
डुंगळी: प्याज
डुक्कर: सुअर
डूंगर: छोटा_पहाड़
डूंटी: नाभि
डूबकी: डुबकी
डूबवुं: डूबना
डूसकुं: सिसकी
डोक: गर्दन
डोकुं: सिर
डोबुं: भैंस
डोल: बाल्टी
डोलवुं: डोलना
डोशी: बूढ़ी_औरत
ढंकावुं: ढंकना
ढंढेरो: ढंढेरा
ढगलाबंध: प्रचुर_मात्रा_में
ढगलो: ढेर
ढगलो: देर
ढब: शैली
ढळवुं: ढलना
ढसडवुं: खींचना
ढांकण: ढक्कन
ढांकणुं: ढक्कन
ढांकवुं: ढकना
ढाकढोळ: बाहरी_दिखावा
ढाळ: ढाल
ढींगली: गुड़िया
ढींचण: घुटणा
ढीलुं: ढीला
ढोर: पशु
ढोळवुं: कोई_तरल_गिरा_देना
तंत्र: प्रबंधन
तंत्री: संपादक
तंबूरो: तभूरा
तजवीज: योजना
तजवुं: त्यागना
तड: दरार
तडको: धूप
तडफड: तुरन्त
तडफडवुं: तड़फना
तडामार: लगातार
तणखलुं: भूसा
तणखो: चिंगारी
ततडाववुं: फटकारना
तने: तुझे
तपवुं: तपना
तपास: जाँच
तपासवुं: जांच_करना
तपासे: तपास_पर
तफडंची: गबन
तफडाववुं: गबन_करना
तफावत: अंतर
तबक्को: चरण
तबियतनी: तबियत_की
तबीब: डॉक्टर
तमंचो: तमंचा
तमने: तुम्हें
तमरुं: झिंगुर
तमाकुं: तंबाकू
तमाचो: तमाचा
तमारा: तुम्हारा
तमारुं: तुम्हारा
तमाशो: तमाशा
तमे: तुम
तरंगी: सनकी
तरछोडवुं: त्यगना
तरत: तुरन्त
तरफेण: पक्षपात
तरलताना: अस्थिरता_का
तरवराट: तीव्र_उत्साह
तरवुं: तैरना
तराप: अचानक_हमला
तरीके: के_रूप_में
तल: तिल
तलप: तीव्र_इच्छा
तलपवुं: तीव्रता_इच्छा_करना
तलसांकळी: गजक
तळपदुं: क्षेत्रीय
तळवुं: तलना
तळाइ: गद्दा
तवारीख: इतिहास
तांतणो: तांत
तांबुं: तांबा
ताकवुं: लक्ष्य_रखना
ताकात: ताकत
तागवुं: अनुमान
ताजाकलम: उपसंहार
ताजु: ताजा
ताजेतरमां: हाल_में
ताण: मांसपेशी_का_तनाव
ताणवुं: तानना
तापणुं: तापना
तापवुं: तापना
तारणवाळी: सारांश_रूपमें
तारवी: सार_निकाल_करni#तारां
ताराज: बर्बाद
तारी: तेरी
तारीखनी: तारीख_की
तारीखे: तारीख_को
तारो: तारा
तालुको: तालुका
ताळवुं: तालु
ताळी: ताली
ताव: ज्वर
ताववुं: तपाना
तीखुं: तीखा
तीड: टिड्डी
तीणुं: तीक्ष्ण
तुं: तू
तुमाखी: क्रोधी
तुरत: तुरन्त
तूटवुं: टूटना
तूत: झूठ
ते: वह
ते_माटे: उसके_लिए
तें: तूने
तेंतालीस: तैंतालीस
तेंसठ: तिरसठ
तेओ: वे
तेओए: उन्होंने
तेओन: उन्हें
तेटली: उतनी
तेटलुं: उतना
तेडवुं: आमंत्रित_करना
तेडुं: निमंत्रण
तेणी: वह
तेणे: उसने
तेतालीस: तैंतालीस
तेत्रीस: तंतीस
तेथी: इसलिए
तेना: उसका
तेनां: उसका
तेनी: उसकी
तेनुं: उसका
तेने: उस्से
तेनो: उसका
तेम: उस_तरह
तेमणे: उन्होंने
तेमना: उसका
तेमनां: उनके
तेमने: उन्हें
तेमां: उसमें
तेमांथी: उसमें_से
तेर: तेरह
तेरमुं: तेरहवीं
तेरश: त्र्योदशी
तेवां: वैसे
तेवी: वैसी
तेवुं: वैसा
तो_पण: तो_भी
तोटो: कमी
तोड: समझौता
तोडवुं: तोड़ना
तोतडुं: तुतलाना
तोतिंग: विशाल
तोतेर: तिहत्तर
तोप: तोप
तोफान: अशांति
तोफानी: शरारती
तोलो: तोला
तोळवुं: तौलना
त्त्वचा: त्वचा
त्यजवुं: त्यागना
त्यां: उधर
त्यां_उपर: उसके_उपर
त्यागवुं: त्यागना
त्यार: तभी
त्यार_पछी: उसके_बाद
त्यार_बाद: उसके_बाद
त्यारथी: तब_से
त्यारपछी: उसके_बाद
त्यारे: तब
त्याशी: तिरासी
त्रण: तीन
त्राटकवुं: छापा
त्राड: दहाड़
त्राणुं: तिरानबे
त्रास: आतंक
त्रासवाद: आतंकवाद
त्राहित: तीसरा_पक्ष
त्रिभेटो: तिराहा
त्रिरंगी: तिरंगा
त्रीज: तीसरे_दिन
त्रीजु: तीसरा
त्रीस: तीस
त्रेपन: तिरपन
त्रेवीस: तेईस
त्रेसठ: तिरसठ
थई: हो
थईजा: हो_जाओ
थड: तना
थता: होता
थतां: होते_थे
थती: होती
थतुं: होता
थतो: होता
थथरवुं: कंपकंपी
थया: हुए
थयां: हुए
थयुं: हुआ
थयुं: हुआ
थयेल: हुई
थयेला: हुए_हुए
थयेलो: हुआ_हुआ
थयो: हुआ
थयो: हो_गया
थर: परत
थवा: होने
थवां: होते
थवुं: होना
थशे: होगी
थांभलो: छोटा_स्तंभ
थाक: थकान
थागडथीगड: मरम्मत
थापण: राजधानी
थाबडवुं: थपथपाना
थाय: हो
थाळ: थार
थाळी: थाली
थूंक: थूक
थूलुं: चोकर
थेली: थैली
थेलो: थैला
थोकबंध: थोक
थोडा: थोड़ा
थोडुं: थोड़ा
थोडे: थोड़ी
थोथवावुं: हकलाना
थोभवुं: रोकना
दंगल: झगड़ा
दंडवुं: सजा_देना
दगाखोर: विश्वासघाती
दगो: विश्वासघात
दड_दड: दड़दड़
दडो: गेंद
दबाण: दबाव
दबावुं: दबाव
दम: दमा
दमकवुं: दमकना
दमदाटी: धमकी
दमाम: भव्यता
दर: प्रति
दर_वरसे: प्रतिवर्ष
दरजी: दर्जी
दरद: दर्द
दरदी: रोगी
दरमियान: बीच
दरमियाननो: दरम्यान_का
दररोज: हर_रोज
दरवाजो: दरवाजा
दरवान: द्वरपाल
दराज: दाद
दरियो: समुद्र
दरे: दर_पर
दरेक: प्रत्येक
दरेकनी: हरेक_की
दर्शवतां: दर्शाते
दर्शावता: दिखाता
दर्शावतां: दर्शाता_हुआ
दर्शावती: दर्शाती
दर्शावतुं: दर्शाता
दर्शावतो: दर्शाता
दर्शाववा: दर्शाने_के_लिए
दर्शाववां: दर्शाने_के_लिए
दर्शाववुं: दर्शाना
दर्शावशे: दर्शाएगा
दर्शावाय: दर्शाया_जा_सकता_है
दर्शावे: दर्शाती_है
दर्शावेली: दर्शायी_हुई
दर्शाव्या: दर्शायी
दळदार: मोटी
दळवुं: दलना
दव: जंगल_की_आग
दवाखानुं: दवाखाना
दवापाणी: दवापानी
दश: दस
दशको: दशक
दशम: दशमी
दशांश: दशमलव
दशी: बत्ती
दशेरा: दशहरा
दसमुं: दसवां
दहाडो: दिन
दहीं: दही
दहींवडुं: दहीवड़ा
दहेशत: आशंका
दांतियो: कंघी
दाक्तर: डाक्टर
दाखलो: उदाहरण
दागीनो: आभूषण
दाटवुं: दफनाना
दाडम: अनार
दाढ: दाढ़_दांत
दाणो: दाना
दातण: दातून
दादर: सीढ़ी
दादरो: सीढ़ी
दादो: दादा
दानत: इरादा
दानेशरी: दानेश्वर
दाबवुं: दाबना
दायको: दशक
दायण: दाई
दारूखानुं: दारूखाना
दारूडियो: शराबी
दाळ: दाल
दावो: दावा
दास: नौकर
दासी: नौकरानी
दिग्मूढ: किंकर्तव्यविमूढ़
दियर: देवर
दिलगीर: उदास
दिलगीरी: खिन्नता
दिलासो: सांत्वना
दिल्ही: दिल्ली
दिवसे: दिन
दिवाळी: दिवाली
दिवासो: त्यौहार
दिवेट: बत्ती
दिवेल: अरंडी_का_तेल
दीकरी: बेटी
दीकरो: बेटा
दीठ: प्रति
दीधुं: दिया
दीपडो: दीप
दीवादांडी: प्रकाशघर
दीवासळी: दियासलाई
दीवो: दीप
दुकाळ: अकाल
दुखवुं: दुखना
दुखावो: दर्द
दुखियारुं: दुखी
दुपट्टो: दुपट्टा
दुभागवुं: द्विभाजित_करना
दुभाववुं: नाराज_करना
दुभावुं: नाराज_होना
दुभाषियो: दुभाषिया
दुर्बळ: दुर्बल
दुवा: आशीर्वाद
दूबळुं: दुर्बल
दूर्रबीन: दूरदर्शी
देखवुं: देखना
देखाती: दिखती
देखाय: दिखे
देखावडुं: आकर्षक
देखावुं: दिखना
देखाशे: दिखेगा
देखीतुं: स्पष्ट
देडकी: मेंढकी
देडकुं: मेंढक
देडको: मेंढक
देराणी: देवरानी
देवां: ऋण
देवांनी: कर्ज_की
देवादार: ऋणी
देवादारो: देनदार
देवानुं: कर्जे_का
देवाळीयुं: दिवालिया
देवुं: देना
देशकाळ: देशकाल
देशदाझ: देशप्रेम
देशना: देश_का
दोडधाम: खलबली
दोडवुं: दौड़ना
दोडादोड: दौढ़धूप
दोढ: डेढ़
दोढु: डेढ़_गुना
दोदळुं: कमजोर
दोरडुं: रस्सी
दोरवणी: मार्गदर्शन
दोरी: डोरी
दोरो: डोरा
दोहवुं: दूध_निकालना
द्रढ: दृढ़
द्रष्टि: दृष्टि
द्राक्ष: अंगूर
धंदानी: धंधे_की
धंधाकीय: व्यावसायिक
धंधाना: व्यवसाय_के
धंधानी: धंधे_की
धंधानु: व्यवसाय_का
धंधानुं: व्यवसाय_का
धंधानो: धंधे_का
धंधामा: धंधे_में
धंधो: धंध
धकको: धक्का
धकेलवुं: धकेलना
धगधगवुं: तीव्रता_से_जलना
धगश: उत्साह
धजा: ध्वजा
धडकवुं: धड़कना
धडाको: धड़ाका
धडाधड: धड़ाधड़
धण: पशुओं_के_झुंड
धणधणवुं: धड़धड़ाना
धणी: मालिक
धणीयाणी: मालकिन
धतिंग: दिखावा
धनुष्य: धनुष
धबडको: असफलता
धमकवुं: कांपना
धमकाववुं: धमकाना
धमधोकार: तेज_गति_से
धमनि: धमनी
धरमूळ: आरम्भिक
धरवुं: पकड़ना
धरावनार: अंशधारक
धरावुं: संतुष्ट_होना
धरावे: धारक_के_अधिकार_में_है
धरी: धूरी
धसमस: उत्तेजना
धसवुं: भागना
धसारो: भागदौड़
धांधल: धांधली
धाक: भय
धाड: डकैती
धाडपाडु: डाकू
धान: अन्न
धाप: धोखा
धाबुं: धब्बा
धामधूम: धूमधाम
धारवुं: निष्कर्ष_निकालना
धाराधोरण: नियमावली
धाराशास्त्री: वकील
धारासभा: विधानसभा
धारो: परंपरा
धार्यामुजबनुं: अपेक्षित
धावण: माँ_का_दूध
धिराण: लोन_राशि
धीमुं: धीमा
धीमेथी: धीरे_धीरे
धीरवानी: रोकने_की
धीरवुं: उधार_देना
धुतारी: धोखेबाज_औरत
धुतारो: धोखेबाज_आदमी
धुपेल: केश_तेल
धुमाडियुं: चिमनी
धुमाडो: धुआँ
धूंआपूंआ: क्रोध_से_जलना
धूंधळुं: धुंधला
धूंसरी: जुवा
धूतवुं: धोखा_देना
धून: धुन
धूपसळी: धूपबत्ती
धूळ: धूल
धोको: विश्वासघात
धोध: झरना
धोबण: धोबिन
धोबी: धोबी
धोरण: कक्षा
धोलाइ: धुलाई
धोळुं: धवल
धोवुं: धोना
ध्रुजारी: कम्पन
न: नहीं
नंग: नग
नककर: ठोस
नककी: निश्चित
नकशीकाम: नक्काशी
नकशो: नक्शा
नकामुं: बेकार
नक्की: निश्चित
नख: नाखून
नखराखोर: पाखंडी
नखराळुं: पाखंडी
नखरुं: पाखंड
नगणुं: कृतघ्न
नगरुं: बिना_गुरु_का
नचिंत: चिंतामुक्त
नजराणुं: उपहार
नजरावुं: नजर_लगना
नजरोनजर: के_सामने
नजीक: नजदीक
नजीवुं: तुच्छ
नठारुं: दुष्ट
नठोर: क्रूर
नणंद: ननद
नणदल: ननद
नणदी: ननद
नणदोइ: नन्दोई
नतीजो: परिणाम
नथी: नहीं
ननामुं: गुमनाम
नन्नो: निषेध
नपास: अनुतीर्ण
नफकरुं: लापरवाह
नफा: लाभ
नफाकारकता: लाभकारिता
नफाकारकताना: लाभ_कारिता_के
नफाना: लाभ_का
नफानी: लाभ_की
नफानुकसान: लाभ-हानि
नफानुकसानना: लाभ-हानि_का
नफानो: लाभ_का
नफिकरुं: लापरवाह
नफो: लाभ
नफ्फट: अशिष्ट
नबळाइ: कमजोरी
नबळाई: दुर्बलता
नबळुं: कमजोर
नबापुं: अनाथ
नमणुं: विनम्र
नमवुं: झुकना
नमायुं: अनाथ
नमूछियुं: निर्मुछिया
नमूनेदार: आदर्श
नमूनो: नमूना
नरजाति: पुरुष_वर्ग
नळाकार: बेलनाकार
नळी: नली
नव: नौ
नवजुवान: नवयुवक
नवतर: नवीन
नवमो: नौवाँ
नवराश: अवकाश
नवरुं: बेरोजगार
नवलकथा: उपन्यास
नवलिका: लघु_कथा
नवस्त्रुं: बिना_वस्त्र_का
नवा: नया
नवाइ: आश्चर्य
नवाजवुं: सम्मान_करना
नवाजूनी: नया_विकास
नवी: नई
नवुं: नई
नवुं: नया
नव्वाणुं: निन्यानबे
नशो: नशा
नसकोरुं: नाक
नहि: नहीं
नहिवत्: नहीं_के_बराबर
नहेर: नहर
नहोर: पंजा
ना: नहीं
नाइलाज: असाध्य
नाखता: डालने_पर
नाखवुं: फेंकना
नागण: नागिन
नागरवेल: पान_की_लता
नागुं: नग्न
नाचवुं: नाचना
नाछूटके: असहाय
नाटकीयुं: नाटकीय
नाडुं: नाड़ा
नाणवुं: जांचना
नाणां: धन
नाणांनी: पैसे_की
नाणांनुं: धन_का
नाणाकीय: वित्तीय
नाणानुं: मुद्रा_का
नाणाबजार: मुद्रा_बाजार
नाणाभीड: वित्तीय_संकट
नाणुं: पैसा
नाताल: क्रिसमस
नातो: नाता
नादार: दिवालिया
नानप: हीन_भावना
नानपण: बचपन
नानम: हीन_भावना
नानुं: छोटा
नानो: छोटा
नापास: अनुतीर्ण
नामचीन: कुख्यात
नामठाम: नाम_और_पता
नामदार: नाम_वाला
नामना: प्रसिद्धि
नामाना: हिसाब_का
नारियेळ: नारियल
नाळ: नाल
नाळचुं: कुप्पी
नाळुं: नाला
नासपति: नाशपाती
नासभाग: वापसी
नासवुं: भागना
नास्तो: नाश्ता
नाहक: अनावश्यक_रूप_से
नाहवुं: नहाना
निंदवुं: निन्दा_करना
निकाल: निर्णय
निकास: निर्यात
निखालस: खुले_दिल_से
निगूढ: रहस्यमय
निचोववुं: निचोड़ना
निभाववुं: निबाहना
निमंत्रवुं: निमंत्रित_करना
निमणूंक: नियुक्ति
निमाडो: आँवां
नियमन: नियंत्रण
नियुकित: नियुक्ति
निरांत: शांति
निराधार: निराश्रय
निराळुं: निराला
निरूपवुं: निरूपित_करना
निर्जळ: निर्जल
निर्धार: दृढ़_संकल्प
निर्बळ: निर्बल
निर्मळ: निर्मल
निर्माल्य: शक्तिहीन
निर्मूळ: निर्मूल
निवारवुं: निवारण_करना
निवेडो: निपटान
निशाल: पाठशाला
निशाळ: पाठशाला
निशाळियो: छात्र
निष्क्रीय: निष्क्रिय
निष्णातोना: निष्णातों_का
निष्फळ: असफल
निसरणी: सीढ़ी
निसासो: निःश्वास
नी: का
नींदण: गुड़ाई
नींदवुं: गुड़ाई
नीक: नाली
नीकलीशुं: निकलेंगे
नीकळवुं: निकलना
नीकळ्या: निकला
नीचाजोणुं: शर्मनाक_हालत
नीचुं: नीच
नीचेनां: नीचे_के
नीचेनी: नीचे_की
नीडर: निडर
नीतरवुं: निथारना
नीतर्युं: निथारा_हुआ
नीतिनुं: नीतिका
नीपज: उत्पाद
नीमवुं: नियुक्त_करना
नीरखवुं: निरीक्षण_करना
नीरण: चारा
नील: नीला
नीवडे: अनुमानित_होगा
नूतन: नया
नूर: भय
ने: न
नेवुं: नब्बे
नेव्याशी: नवासी
नैऋत्य: दक्षिण_पश्चिम
नैवेद: नैवेद्य
नोंध: नोट_करना
नोंधपात्र: ध्यान_रखने_योग्य
नोंधवा: ध्यान_दें
नोंधाती: दर्ज_की_गयी
नोंधायेली: दर्शायी_हुयी
नोंधेली: लिख_रखी_हुयी
नोंधो: टिप्पणियाँ
नोकर: नौकर
नोकरियात: वेतनभोगी
नोतरवुं: नेवतना
नोतरुं: नेवता
नोधारुं: आधारहीन
नोबत: स्थिति
नोम: नवमी
नोळियो: नेवला
नौकादळ: नौसेना
पंकित: पंक्ति
पंखी: पक्षी
पंखो: पंखा
पंचाणुं: पंचानबे
पंचात: पंचायत
पंचाल: लोहार
पंचावन: पचपन
पंचाशी: पचासी
पंचोतेर: पचहत्तर
पंजो: पंजा
पंड: मानव_शरीर
पंदर: पन्द्रह
पंपाळवुं: पुचकारना
पकड: पकड़
पकडवुं: पकड़ना
पकववुं: पकाना
पक्षकारो: पक्षकार
पक्षकारोनी: पक्षकारों_की
पखवाज: पखावज
पखवाडिक: पाक्षिक
पखवाडियुं: पखवाड़ा
पखाळवुं: पखारना
पग: पाँव
पगथियुं: पदचिह्न
पगपाळा: पदयात्रा
पगपाळुं: पैदल_यात्री
पगपेसारो: घुसपैठ
पगभर: आत्मनिर्भर
पगरखुं: जूता
पगरव: कदम_की_ध्वनि
पगलां: कदम
पगलुं: पदचिह्न
पगेरुं: पदचिह्न
पचवुं: पचाना
पछडाट: पछाड़ना
पछाडवुं: पछाड़ना
पछात: पिछड़ा
पछी: इसके_बाद
पछीनी: पश्चात_की
पजवणी: उत्पीड़न
पजववुं: उत्पीड़ित_करना
पटपट: जल्दी
पटपटाववुं: हिलाना
पटलाइ: सरपंची
पटलाणी: सरपंचन
पटाबाज: तलवारबाज
पटाबाजी: तलवारबाजी
पटामणी: चापलूसी_द्वारा_छल
पटाववुं: चापलूसी_द्वारा_धोखा
पटावाळो: चपरासी
पट्टो: पट्टा
पड: परत
पडकार: चुनौती
पडछायो: परछांई
पडतर: परती_भूमि
पडतरना: लागत_का
पडतीना: अवनति_का
पडतुं: पतन
पडदो: पर्दा
पडपूछ: जांच
पडवुं: गिरना
पडवो: एकम
पडशे: पडेगी
पडाव: शिविर
पडे: पडता_है
पड्यो: पडा
पण: भी
पणछ: धनुष_की_डोरी
पत: कुष्ट
पतंगियुं: पतंगा
पतरी: पतरा
पतरुं: धातु_पत्रक
पतावट: समझौता
पताववुं: सुलझाना
पतासुं: बतासा
पतियुं: कुष्ठरोगी
पत्तु: पत्ता
पत्तो: पता
पत्रकना: पत्रक_का
पत्रकारत्त्व: पत्रकारिता
पत्रकोना: पत्रकों_के
पत्रकोनां: पत्रकों_के
पत्रकोनी: पत्रकों_की
पत्रकोनुं: पत्रकों_का
पत्रकोनो: पत्रकों_का
पत्रको: पत्रक
पथराळ: पथरीला
पथरो: पत्थर
पथारी: बिस्तर
पथ्थति: पद्धति
पथ्थर: पत्थर
पदाववुं: पदाना
पद्धतिए: पद्धति_के_अनुसार
पद्धतिओ: पद्धतियाँ
पद्धतिओनो: पद्धतिओं_का
पधरामणी: पधारना
पधारवुं: पधारना
पनो: पनहा
पनोती: दुर्भाग्य
पनोतुं: शुभ
पपैयुं: पपीता
परगजु: उदार
परगाम: दूसरे_का_गाँव
परचूरण: खुल्ले_पैसे
परचो: चमत्कार
परणवुं: विवाह
परत: बदले_में
परदादो: परदादा
परदो: पर्दा
परपोटी: बुलबुला
परपोटो: बुलबुला
